County FIPS Code ,County ,Year,Weekend_Hospital Admisison Per  day,Weekdays_Hospital Admisison Per day ,Total Population ,(0-17) years,(18-44) years,(45-64) years,(65+ years),"Disease Burden (Age Adjusted Death Rate Per 100,000)                                         ","SVI (mean of year 2010,2013,2016,2019)",Price Parity Index (2020),Hospital bed (2020)
12029,Dixie,2014,5,7,16041,3169,4657,4690,3654,602,0.443175,,
12031,Duval,2014,278,405,896668,222332,344824,232985,113594,1017.1,0.424225,,
12033,Escambia,2014,88,131,307960,69324,116264,79362,47858,830.4,0.321975,,
12035,Flagler,2014,24,38,101889,18176,26392,28336,28655,893.7,0.140175,,
12037,Franklin,2014,2,4,11661,2032,4191,3174,2359,719.9,0.64395,,
12039,Gadsden,2014,13,17,46114,10760,15633,13115,7122,1014.6,0.7121,,
12041,Gilchrist,2014,5,7,16991,3529,5601,4651,3278,810.9,0.5985,,
12043,Glades,2014,1,2,12943,2140,4240,3303,3219,846.7,0.60605,,
12045,Gulf,2014,4,6,16002,2523,5865,4698,2961,452.6,0.3826,,
12047,Hamilton,2014,3,5,14071,2815,5248,3839,2267,965.6,0.7841,,
12049,Hardee,2014,7,10,27266,7693,9882,6054,4013,962.2,0.8674,,
12051,Hendry,2014,10,15,38474,11366,14038,8795,4977,751.2,0.85605,,
12053,Hernando,2014,61,87,175298,32281,46610,47719,48106,758.8,0.321975,,
12055,Highlands,2014,29,45,98584,18078,23972,23520,33695,759.2,0.7159,,
12057,Hillsborough,2014,333,493,1332298,320248,510893,342286,173677,674.1,0.488675,,
12059,Holmes,2014,2,4,19564,3978,6567,5331,3674,738.4,0.5568,,
12061,Indian River,2014,38,62,144445,25548,36122,39458,43409,949,0.196975,,
12063,Jackson,2014,8,14,48730,9335,17555,13351,8676,677.2,0.76515,,
12065,Jefferson,2014,3,5,14056,2579,4305,4428,2857,890.4,0.530325,,
12067,Lafayette,2014,1,2,8862,1854,3678,2124,1237,738.5,0.6818,,
12069,Lake,2014,107,158,315340,63639,88902,81810,82108,631.6,0.397725,,
12071,Lee,2014,172,263,677232,129901,194033,178059,179207,699.3,0.35985,,
12073,Leon,2014,53,82,283770,56182,136003,61873,32302,591.7,0.393925,,
12075,Levy,2014,13,17,39296,8041,10918,11540,8965,706.3,0.66665,,
12077,Liberty,2014,1,2,8418,1582,3488,2266,1063,909.3,0.723475,,
12079,Madison,2014,3,6,18601,3767,6283,5246,3388,964.1,0.738625,,
12081,Manatee,2014,84,131,350865,70119,98021,94971,89613,1003.7,0.44695,,
12083,Marion,2014,98,151,338005,65534,92568,88006,93964,635.5,0.409125,,
12085,Martin,2014,38,58,153119,25460,38350,43924,44965,779.3,0.0985,,
12086,Miami-Dade,2014,706,1048,2634269,576073,993004,696731,397050,589.2,0.833325,,
12087,Monroe,2014,16,27,76261,12505,24334,25088,15354,659.3,0.22725,,
12089,Nassau,2014,18,30,76250,15516,22904,22655,15160,787.6,0.11745,,
12091,Okaloosa,2014,44,72,194615,47410,72103,50134,29001,797.4,0.29545,,
